IdSiniestro,NumeroVictimas,Año,Mes,Dia,Hora,IdTransporteVictima,IdTransporteAcusado,Gravedad
20160001,1,2016,1,1,4,6,4,Victimas Mortales
20160002,1,2016,1,2,1,4,7,Victimas Mortales
20160003,1,2016,1,3,7,6,4,Victimas Mortales
20160004,1,2016,1,10,0,6,,Victimas Mortales
20160005,1,2016,1,21,5,6,7,Victimas Mortales
20160008,1,2016,1,24,18,6,11,Victimas Mortales
20160009,1,2016,1,24,19,6,4,Victimas Mortales
20160010,1,2016,1,29,15,6,4,Victimas Mortales
20160012,1,2016,2,8,1,6,9,Victimas Mortales
20160013,1,2016,2,10,11,1,4,Victimas Mortales
20160015,1,2016,2,14,5,1,4,Victimas Mortales
20160016,1,2016,2,14,22,6,4,Victimas Mortales
20160017,1,2016,2,15,16,1,6,Victimas Mortales
20160019,1,2016,2,17,9,1,7,Victimas Mortales
20160020,1,2016,2,17,16,1,4,Victimas Mortales
20160021,1,2016,2,17,23,4,4,Victimas Mortales
20160022,1,2016,2,21,6,6,4,Victimas Mortales
20160025,1,2016,2,28,4,4,4,Victimas Mortales
20160026,1,2016,2,28,7,4,11,Victimas Mortales
20160027,1,2016,2,28,9,4,4,Victimas Mortales
20160028,1,2016,3,2,10,1,9,Victimas Mortales
20160029,1,2016,3,4,17,1,7,Victimas Mortales
20160031,1,2016,3,8,12,6,7,Victimas Mortales
20160034,1,2016,3,12,12,1,7,Victimas Mortales
20160035,1,2016,3,13,6,6,7,Victimas Mortales
20160036,1,2016,3,14,0,6,7,Victimas Mortales
20160037,1,2016,3,19,11,6,6,Victimas Mortales
20160038,1,2016,3,21,8,1,7,Victimas Mortales
20160039,1,2016,3,23,1,6,7,Victimas Mortales
20160041,2,2016,3,29,11,6,9,Victimas Mortales
20160043,1,2016,3,30,18,1,9,Victimas Mortales
20160044,1,2016,3,31,19,6,12,Victimas Mortales
20160045,1,2016,4,11,10,6,,Victimas Mortales
20160047,1,2016,4,15,5,1,7,Victimas Mortales
20160048,1,2016,4,15,17,1,7,Victimas Mortales
20160049,1,2016,4,17,0,,,Victimas Mortales
20160050,1,2016,4,19,9,1,7,Victimas Mortales
20160051,1,2016,4,20,4,6,9,Victimas Mortales
20160052,1,2016,4,20,20,6,,Victimas Mortales
20160053,1,2016,4,22,9,1,7,Victimas Mortales
20160054,1,2016,4,23,21,6,6,Victimas Mortales
20160055,1,2016,4,25,20,1,9,Victimas Mortales
20160056,1,2016,4,26,4,6,11,Victimas Mortales
20160058,1,2016,5,4,14,1,6,Victimas Mortales
20160059,1,2016,5,8,16,1,7,Victimas Mortales
20160064,1,2016,5,14,18,1,7,Victimas Mortales
20160065,1,2016,5,20,14,1,4,Victimas Mortales
20160067,1,2016,5,21,17,6,7,Victimas Mortales
20160068,1,2016,5,22,22,6,7,Victimas Mortales
20160069,1,2016,5,23,3,4,9,Victimas Mortales
20160073,1,2016,6,11,15,6,9,Victimas Mortales
20160074,1,2016,6,12,6,4,4,Victimas Mortales
20160075,1,2016,6,12,23,1,4,Victimas Mortales
20160076,1,2016,6,13,16,1,7,Victimas Mortales
20160077,1,2016,6,13,21,1,7,Victimas Mortales
20160078,1,2016,6,13,23,6,6,Victimas Mortales
20160079,1,2016,6,16,17,4,4,Victimas Mortales
20160080,1,2016,6,18,6,4,,Victimas Mortales
20160081,1,2016,6,22,7,6,4,Victimas Mortales
20160082,1,2016,6,27,18,1,4,Victimas Mortales
20160083,1,2016,6,28,20,1,6,Victimas Mortales
20160084,1,2016,6,29,22,1,7,Victimas Mortales
20160085,1,2016,6,29,22,6,13,Victimas Mortales
20160086,1,2016,6,30,16,1,7,Victimas Mortales
20160087,1,2016,7,3,0,6,11,Victimas Mortales
20160088,1,2016,7,11,15,1,4,Victimas Mortales
20160089,1,2016,7,14,6,1,4,Victimas Mortales
20160090,1,2016,7,14,22,1,7,Victimas Mortales
20160092,1,2016,7,15,11,6,9,Victimas Mortales
20160093,1,2016,7,17,3,4,4,Victimas Mortales
20160095,1,2016,7,23,6,6,4,Victimas Mortales
20160096,1,2016,7,25,7,6,9,Victimas Mortales
20160097,1,2016,7,26,18,1,4,Victimas Mortales
20160098,1,2016,7,27,16,6,9,Victimas Mortales
20160099,1,2016,7,29,16,9,9,Victimas Mortales
20160100,1,2016,8,3,23,6,11,Victimas Mortales
20160101,1,2016,8,7,19,,,Victimas Mortales
20160102,1,2016,8,10,23,6,9,Victimas Mortales
20160104,1,2016,8,14,21,6,7,Victimas Mortales
20160105,1,2016,8,17,0,1,7,Victimas Mortales
20160106,1,2016,8,19,21,1,7,Victimas Mortales
20160107,1,2016,8,20,8,6,4,Victimas Mortales
20160109,1,2016,8,24,5,4,11,Victimas Mortales
20160110,1,2016,8,24,20,1,,Victimas Mortales
20160111,1,2016,8,25,9,6,9,Victimas Mortales
20160112,1,2016,8,27,4,6,11,Victimas Mortales
20160113,1,2016,8,27,16,1,7,Victimas Mortales
20160114,1,2016,8,31,11,2,9,Victimas Mortales
20160115,1,2016,9,2,11,,9,Victimas Mortales
20160116,1,2016,9,2,20,6,4,Victimas Mortales
20160117,1,2016,9,3,15,4,4,Victimas Mortales
20160118,1,2016,9,4,3,4,4,Victimas Mortales
20160119,1,2016,9,4,6,,,Victimas Mortales
20160122,1,2016,9,13,7,2,7,Victimas Mortales
20160123,1,2016,9,14,9,6,4,Victimas Mortales
20160124,1,2016,9,16,15,1,7,Victimas Mortales
20160125,1,2016,9,17,12,6,6,Victimas Mortales
20160126,2,2016,9,18,22,4,9,Victimas Mortales
20160127,1,2016,9,24,10,1,7,Victimas Mortales
20160128,1,2016,10,2,11,1,7,Victimas Mortales
20160130,1,2016,10,4,12,6,9,Victimas Mortales
20160131,1,2016,10,9,19,1,4,Victimas Mortales
20160132,1,2016,10,10,2,4,7,Victimas Mortales
20160133,1,2016,10,14,0,6,4,Victimas Mortales
20160134,1,2016,10,23,5,6,11,Victimas Mortales
20160135,1,2016,10,24,5,1,,Victimas Mortales
20160136,1,2016,10,25,0,6,9,Victimas Mortales
20160137,1,2016,10,25,0,6,6,Victimas Mortales
20160138,1,2016,10,27,20,2,9,Victimas Mortales
20160139,1,2016,10,28,23,6,6,Victimas Mortales
20160140,1,2016,10,31,2,7,7,Victimas Mortales
20160142,1,2016,11,5,23,6,7,Victimas Mortales
20160143,1,2016,11,6,4,6,,Victimas Mortales
20160144,1,2016,11,7,12,1,7,Victimas Mortales
20160145,1,2016,11,7,20,6,4,Victimas Mortales
20160146,1,2016,11,9,20,1,7,Victimas Mortales
20160147,1,2016,11,16,21,10,7,Victimas Mortales
20160148,1,2016,11,16,22,6,6,Victimas Mortales
20160150,1,2016,11,18,18,9,9,Victimas Mortales
20160151,1,2016,11,18,20,1,,Victimas Mortales
20160152,1,2016,11,23,21,6,4,Victimas Mortales
20160153,1,2016,11,25,15,1,6,Victimas Mortales
20160154,1,2016,11,26,14,6,6,Victimas Mortales
20160155,1,2016,11,26,16,1,4,Victimas Mortales
20160156,1,2016,11,26,19,6,7,Victimas Mortales
20160157,1,2016,12,3,6,6,6,Victimas Mortales
