IdSiniestro,Longitud,Latitud,IdComuna,TipoVia,NombreVia
20160001,-58.47533969,-34.68757022,8,Via Principal,PIEDRA BUENA AV.
20160002,-58.50877521,-34.66977709,9,Autopista,"PAZ, GRAL. AV."
20160003,-58.39040293,-34.63189362,1,Via Principal,ENTRE RIOS AV.
20160004,-58.46503904,-34.68092974,8,Via Principal,LARRAZABAL AV.
20160005,-58.38718297,-34.62246630,1,Via Principal,SAN JUAN AV.
20160008,-58.44451316,-34.68475866,8,Via Principal,27 DE FEBRERO AV.
20160009,-58.50095869,-34.60825440,11,Via Local,NOGOYA
20160010,-58.50877521,-34.66977709,9,Autopista,"PAZ, GRAL. AV."
20160012,-58.38048577,-34.61303893,1,Via Principal,BELGRANO AV.
20160013,-58.39114932,-34.62477387,1,Via Principal,ENTRE RIOS AV.
20160015,-58.43760020,-34.59912758,15,Via Principal,"SCALABRINI ORTIZ, RAUL AV."
20160016,-58.36882665,-34.64291993,4,Via Principal,REGIMIENTO DE PATRICIOS AV.
20160017,-58.44989671,-34.65970435,8,Via Principal,"ACOSTA, MARIANO"
20160019,-58.50990884,-34.65468721,9,Via Local,"DE LA TORRE, LISANDRO"
20160020,-58.37952223,-34.60653282,1,Via Local,SUIPACHA
20160021,-58.45157703,-34.63063795,7,Via Principal,DIRECTORIO AV.
20160022,-58.38144696,-34.61079875,1,Via Principal,9 DE JULIO AV.
20160025,-58.46244952,-34.70524971,8,Autopista,"PAZ, GRAL. AV."
20160026,-58.49216191,-34.54738649,12,Via Local,HOLMBERG
20160027,-58.44497874,-34.63852623,7,Via Principal,CURAPALIGUE AV.
20160028,-58.38199706,-34.60028648,1,Via Principal,VIAMONTE
20160029,-58.47378664,-34.54153077,12,Via Principal,CABILDO AV.
20160031,-58.47064556,-34.69843756,8,Autopista,"PAZ, GRAL. AV."
20160034,-58.40623949,-34.65076549,4,Via Principal,"ALCORTA, AMANCIO AV."
20160035,-58.39228965,-34.60443527,3,Via Principal,CORRIENTES AV.
20160036,-58.37813396,-34.63668504,4,Via Local,HERRERA
20160037,-58.46275892,-34.64358293,7,Via Principal,LAFUENTE AV.
20160038,-58.49683458,-34.67892743,8,Autopista,"PAZ, GRAL. AV."
20160039,-58.40603217,-34.60883960,3,Via Principal,"MITRE, BARTOLOME"
20160041,-58.46076550,-34.63350444,7,Via Principal,DIRECTORIO AV.
20160043,-58.47832463,-34.67494416,8,Via Principal,"DELLEPIANE, LUIS, TTE. GRAL."
20160044,-58.43213235,-34.63693953,7,Via Principal,"MORENO, JOSE MARIA AV."
20160045,-58.46743471,-34.53476874,13,Autopista,"PAZ, GRAL. AV."
20160047,-58.38247061,-34.62571878,1,Via Local,LIMA
20160048,-58.44759966,-34.59170240,15,Via Principal,CORRIENTES AV.
20160049,-58.37714647568196,-34.63657525428238,4,Autopista,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI
20160050,-58.47305463,-34.68550712,8,Via Principal,"GORDILLO, TIMOTEO"
20160051,-58.40623949,-34.65076549,4,Via Principal,"ALCORTA, AMANCIO AV."
20160052,.,.,13,Autopista,"LUGONES, LEOPOLDO AV."
20160053,-58.48429180,-34.57558053,12,Via Principal,TRIUNVIRATO AV.
20160054,-58.48695354,-34.68795245,8,Autopista,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.
20160055,-58.40021959,-34.57964781,14,Via Principal,"CASTILLA, RAMON, MARISCAL"
20160056,-58.42957885,-34.57660058,14,Via Principal,"CAMPOS, LUIS M. AV."
20160058,-58.38247542,-34.62556293,1,Via Local,LIMA
20160059,-58.38222219,-34.62728101,1,Via Local,CIUDADELA
20160064,-58.49485242,-34.62953445,10,Via Principal,"JUSTO, JUAN B. AV."
20160065,-58.45227946,-34.61068024,6,Via Principal,GAONA AV.
20160067,-58.48455411,-34.67512760,8,Via Principal,"DE LA TORRE, LISANDRO"
20160068,-58.39056593,-34.58418569,2,Via Principal,"FIGUEROA ALCORTA, PRES. AV."
20160069,-58.39118948,-34.62704273,3,Via Principal,ENTRE RIOS AV.
20160073,-58.49021952,-34.62025108,10,Via Local,"MAGARI?OS CERVANTES, A."
20160074,-58.49896559,-34.67732118,8,Autopista,"PAZ, GRAL. AV."
20160075,-58.47461076,-34.66874679,8,Autopista,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.
20160076,-58.46210891,-34.60356211,15,Via Principal,SAN MARTIN AV.
20160077,-58.37027770,-34.60536123,1,Via Principal,"PERON, JUAN DOMINGO, TTE. GENERAL"
20160078,-58.40491455,-34.61463830,3,Via Principal,BELGRANO AV.
20160079,-58.45504154,-34.54864492,13,Via Principal,DEL LIBERTADOR AV.
20160080,-58.52927982,-34.63931752,9,Autopista,"PAZ, GRAL. AV."
20160081,-58.48721060,-34.55904606,12,Via Principal,"LARRALDE, CRISOLOGO AV."
20160082,-58.42273092,-34.64228803,4,Via Principal,LA PLATA AV.
