IdSiniestro,IdActorVictima,Sexo,TipoVictima,RangoEtario
20160001,3,Masculino,Fallecida,Adulto Joven
20160002,3,Masculino,Fallecida,Adulto Mayor
20160003,3,Masculino,Fallecida,Adulto 30 a 39
20160004,3,Masculino,Fallecida,Adulto Joven
20160005,3,Masculino,Fallecida,Adulto Joven
20160008,3,Masculino,Fallecida,Adulto 30 a 39
20160009,4,Masculino,Fallecida,Adulto Joven
20160010,3,Masculino,Fallecida,Adulto Joven
20160012,3,Masculino,Fallecida,Adulto Joven
20160013,1,Masculino,Fallecida,Adolescente
20160015,1,Femenino,Fallecida,Adolescente
20160016,4,Femenino,Fallecida,Adulto Joven
20160017,1,Masculino,Fallecida,Adulto 50 a 59
20160019,1,Femenino,Fallecida,Adulto Mayor
20160020,1,Masculino,Fallecida,Adulto 50 a 59
20160021,3,Masculino,Fallecida,Adulto 30 a 39
20160022,4,Masculino,Fallecida,Adulto 40 a 49
20160025,4,Masculino,Fallecida,Adulto 30 a 39
20160026,3,Masculino,Fallecida,Adulto 30 a 39
20160027,4,Masculino,Fallecida,Adulto 30 a 39
20160028,1,Masculino,Fallecida,Adulto 50 a 59
20160029,1,Masculino,Fallecida,Adulto 30 a 39
20160031,3,Masculino,Fallecida,Adulto Joven
20160034,1,Masculino,Fallecida,Adulto 50 a 59
20160035,3,Masculino,Fallecida,Adulto 30 a 39
20160036,4,Masculino,Fallecida,Adulto 30 a 39
20160037,3,Masculino,Fallecida,Adulto Joven
20160038,1,Masculino,Fallecida,Adulto Joven
20160039,3,Masculino,Fallecida,Adulto Joven
20160041,3,Masculino,Fallecida,Adulto 50 a 59
20160041,4,Masculino,Fallecida,
20160043,1,Femenino,Fallecida,Adulto 50 a 59
20160044,3,Masculino,Fallecida,Adulto Joven
20160045,3,Masculino,Fallecida,
20160047,1,Masculino,Fallecida,Adulto 40 a 49
20160048,1,Femenino,Fallecida,
20160049,,,Fallecida,
20160050,1,Masculino,Fallecida,Adulto Mayor
20160051,3,Masculino,Fallecida,Adulto 30 a 39
20160052,,,Fallecida,
20160053,1,Masculino,Fallecida,Adulto 30 a 39
20160054,3,Masculino,Fallecida,Adulto 30 a 39
20160055,1,Masculino,Fallecida,Adulto Mayor
20160056,3,Masculino,Fallecida,Adulto Joven
20160058,1,Femenino,Fallecida,Adulto 50 a 59
20160059,1,Masculino,Fallecida,Adulto 30 a 39
20160064,1,Masculino,Fallecida,Adulto Joven
20160065,1,Masculino,Fallecida,Adulto Joven
20160067,4,Femenino,Fallecida,Adulto 30 a 39
20160068,3,Masculino,Fallecida,Adulto 50 a 59
20160069,3,Masculino,Fallecida,Adulto 30 a 39
20160073,3,Masculino,Fallecida,Adulto Joven
20160074,3,Masculino,Fallecida,Adulto Mayor
20160075,1,Masculino,Fallecida,Adulto 40 a 49
20160076,1,Femenino,Fallecida,Adulto 50 a 59
20160077,1,Femenino,Fallecida,
20160078,3,Masculino,Fallecida,Adulto 30 a 39
20160079,3,Femenino,Fallecida,Adulto 50 a 59
20160080,3,Masculino,Fallecida,Adulto Mayor
20160081,3,Masculino,Fallecida,Adulto 40 a 49
20160082,1,Masculino,Fallecida,Adulto Mayor
20160083,1,Femenino,Fallecida,Adulto Mayor
20160084,1,Masculino,Fallecida,Adulto 50 a 59
20160085,,Masculino,Fallecida,
20160086,1,Masculino,Fallecida,Adulto Mayor
20160087,3,Masculino,Fallecida,Adulto Joven
20160088,1,Femenino,Fallecida,Adulto Mayor
20160089,1,Masculino,Fallecida,Adulto 30 a 39
20160090,1,Masculino,Fallecida,Adulto Mayor
20160092,3,Masculino,Fallecida,Adulto Joven
20160093,3,Masculino,Fallecida,Adulto 30 a 39
20160095,3,Masculino,Fallecida,Adulto Joven
20160096,3,Masculino,Fallecida,
20160097,1,Masculino,Fallecida,Adulto Mayor
20160098,3,Femenino,Fallecida,Adulto 40 a 49
